equipe,nom,selections,poste,annees_en_sélection,debut,age,age_début,taille,poids
Argentina,Agustin Creevy,46,1e ligne,10.6,23-Apr-05,30,19,182,106
Argentina,Facundo Isa,13,3e ligne,1,8-Nov-14,22,21,188,103
Argentina,Guido Petti Pagadizabal,12,2e ligne,1,14-Nov-14,21,20,193,104
Argentina,Horacio Agulla,63,arrière,10,3-Dec-05,31,21,181,90
Argentina,Javier Ortega Desio,19,3e ligne,3.5,20-May-12,25,22,193,104
Argentina,Jeronimo De La Fuente,19,arrière,1.5,17-May-14,24,23,183,93
Argentina,Joaquin Tuculet,28,arrière,3.5,9-Jun-12,26,23,184,86
Argentina,Juan Figallo,24,1e ligne,5.4,26-Jun-10,27,22,190,115
Argentina,Juan Imhoff,33,arrière,5.5,23-May-10,27,22,185,90
Argentina,Juan Manuel Leguizamon,65,3e ligne,10.6,23-Apr-05,32,21,190,104
Argentina,Juan Martin Fernandez Lobbe,71,3e ligne,11.6,28-Apr-04,34,22,191,106
Argentina,Juan Martin Hernandez,58,demi,12.6,27-Apr-03,33,20,187,94
Argentina,Juan Pablo Orlandi,20,1e ligne,7.1,8-Nov-08,32,25,190,119
Argentina,Juan Pablo Socino,4,arrière,0.3,25-Jul-15,27,27,174,98
Argentina,Julian Montoya,16,1e ligne,1.5,17-May-14,22,21,183,110
Argentina,Leonardo Senatore,34,3e ligne,4.2,2-Oct-11,31,27,191,106
Argentina,Lucas Gonzalez Amorosino,48,arrière,8,15-Dec-07,30,22,185,93
Argentina,Lucas Noguera,23,1e ligne,1.5,17-May-14,22,21,179,107
Argentina,Marcelo Bosch,39,arrière,8.5,9-Jun-07,31,23,186,92
Argentina,Marcos Ayerza,65,1e ligne,11,4-Dec-04,32,21,186,113
Argentina,Mariano Galarza,25,2e ligne,5.5,12-Jun-10,29,24,203,115
Argentina,Martin Landajo,52,demi,5.5,21-May-10,27,22,171,81
Argentina,Matias Alemanno,20,2e ligne,1.5,17-May-14,23,22,198,112
Argentina,Matias Moroni,8,arrière,1.4,20-Jun-14,24,23,184,85
Argentina,Nahuel Tetaz Chaparro,22,1e ligne,5.5,23-May-10,26,21,188,121
Argentina,Nicolas Sanchez,39,demi,5.5,21-May-10,27,22,177,83
Argentina,Pablo Matera,22,3e ligne,2.6,1-May-13,22,19,193,99
Argentina,Ramiro Herrera,20,1e ligne,1.5,7-Jun-14,26,25,191,130
Argentina,Santiago Cordero,18,arrière,2,9-Nov-13,21,19,176,79
Argentina,Santiago Garcia Botta,7,1e ligne,2.6,27-Apr-13,23,20,185,105
Argentina,Santiago Gonzalez Iglesias,19,arrière,4.5,22-May-11,27,23,178,89
Argentina,Tomas Cubelli,45,demi,5.5,21-May-10,26,21,175,79
Argentina,Tomas Lavanini,27,2e ligne,2.6,27-Apr-13,22,19,200,118
Australia,Adam Ashley-Cooper,114,arrière,10.3,20-Aug-05,31,21,182,98
Australia,Ben McCalman,47,3e ligne,5.3,24-Jul-10,27,22,192,106
Australia,Bernard Foley,27,demi,2.1,5-Oct-13,26,24,182,89
Australia,David Pocock,55,3e ligne,7.1,1-Nov-08,27,20,187,115
Australia,Dean Mumm,44,2e ligne,7.5,14-Jun-08,31,24,196,109
Australia,Drew Mitchell,70,arrière,10.4,9-Jul-05,31,21,182,92
Australia,Greg Holmes,24,1e ligne,10.1,5-Nov-05,32,22,187,114
Australia,Henry Speight,5,arrière,1,22-Nov-14,27,26,186,97
Australia,Israel Folau,38,arrière,2.4,22-Jun-13,26,24,193,103
Australia,James Hanson,10,1e ligne,3.1,20-Oct-12,27,24,183,104
Australia,James Slipper,74,1e ligne,5.5,12-Jun-10,26,21,186,117
Australia,Joseph Tomane,17,arrière,3.5,5-Jun-12,25,22,188,101
Australia,Kane Douglas,23,2e ligne,3.2,15-Sep-12,26,23,202,123
Australia,Kurtley Beale,60,demi,6,28-Nov-09,26,20,184,92
Australia,Matt Giteau,102,demi,13,16-Nov-02,33,20,178,84
Australia,Matt Toomua,31,arrière,2.3,17-Aug-13,25,23,182,90
Australia,Michael Hooper,51,3e ligne,3.5,5-Jun-12,24,21,182,101
Australia,Nick Phipps,39,demi,4.4,17-Jul-11,26,22,180,87
Australia,Quade Cooper,58,demi,7.1,8-Nov-08,27,20,186,92
Australia,Rob Horne,29,arrière,5.5,5-Jun-10,26,21,186,93
Australia,Rob Simmons,60,2e ligne,5.3,24-Jul-10,26,21,200,115
Australia,Sam Carter,12,2e ligne,1.5,7-Jun-14,26,25,200,116
Australia,Scott Fardy,30,3e ligne,2.3,17-Aug-13,31,29,198,114
Australia,Scott Sio,16,1e ligne,2.3,17-Aug-13,24,22,187,115
Australia,Sean McMahon,6,3e ligne,1,8-Nov-14,21,20,186,100
Australia,Sekope Kepu,63,1e ligne,7.1,8-Nov-08,29,22,188,118
Australia,Stephen Moore,102,1e ligne,10.5,11-Jun-05,32,22,186,112
Australia,Tatafu Polota-Nau,61,1e ligne,10,12-Nov-05,30,20,181,114
Australia,Tevita Kuridrani,31,arrière,2.3,17-Aug-13,24,22,192,102
Australia,Toby Smith,3,1e ligne,0.2,5-Sep-15,27,27,190,116
Australia,Will Genia,66,demi,6.4,18-Jul-09,27,21,174,82
Australia,Will Skelton,14,2e ligne,1.4,21-Jun-14,23,22,203,140
Australia,Wycliff Palu,57,3e ligne,9.4,17-Jun-06,33,24,194,115
Canada,Aaron Carpenter,71,1e ligne,10.5,25-May-05,32,22,183,107
Canada,Andrew Tiedemann,38,1e ligne,6.5,30-May-09,27,21,183,115
Canada,Benoit Piffero,10,1e ligne,2,9-Nov-13,28,26,183,102
Canada,Brett Beukeboom,18,2e ligne,3.5,9-Jun-12,25,22,196,113
Canada,Ciaran Hearn,49,arrière,7.1,8-Nov-08,29,22,190,100
Canada,Connor Braid,19,demi,5.1,6-Nov-10,25,20,185,82
Canada,Conor Trainor,22,arrière,4.5,8-Jun-11,25,21,188,95
Canada,Djustice Sears-Duru,12,1e ligne,2,23-Nov-13,21,19,185,118
Canada,Doug Wooldridge,23,1e ligne,6.5,23-May-09,29,23,180,106
Canada,DTH Van Der Merwe,39,arrière,9.4,24-Jun-06,29,20,185,101
Canada,Evan Olmstead,7,2e ligne,0.3,29-Jul-15,24,24,197,115
Canada,Gordon McRorie,15,demi,1.5,7-Jun-14,27,26,178,80
Canada,Harry Jones,20,demi,3,17-Nov-12,26,23,185,90
Canada,Hubert Buydens,39,1e ligne,9.5,10-Jun-06,33,24,191,120
Canada,Jake Ilnicki,9,1e ligne,2,9-Nov-13,23,21,180,125
Canada,James Pritchard,62,arrière,12.3,26-Jul-03,36,24,175,85
Canada,Jamie Cudmore,39,2e ligne,13.4,13-Jul-02,37,24,198,116
Canada,Jamie Mackenzie,8,demi,5.1,6-Nov-10,26,21,175,89
Canada,Jebb Sinclair,42,3e ligne,7.1,1-Nov-08,29,22,193,111
Canada,Jeff Hassler,17,arrière,3.5,9-Jun-12,24,21,178,96
Canada,John Moonlight,23,3e ligne,6.5,6-Jun-09,28,22,187,103
Canada,Kyle Gilmour,14,3e ligne,2,23-Nov-13,27,25,185,85
Canada,Liam Underwood,11,demi,2.5,25-May-13,24,22,189,91
Canada,Matt Evans,32,arrière,7.1,8-Nov-08,27,20,183,93
Canada,Nanyak Dala,37,3e ligne,8.5,2-Jun-07,31,23,178,100
Canada,Nathan Hirayama,23,demi,7.1,1-Nov-08,27,20,183,88
Canada,Nick Blevins,28,arrière,6,15-Nov-09,27,21,187,98
Canada,Patrick Parfrey,7,demi,2.5,25-May-13,24,22,185,95
Canada,Phil Mack,31,demi,6.5,23-May-09,30,24,170,77
Canada,Phil Mackenzie,29,arrière,7.1,1-Nov-08,28,21,185,96
Canada,Ray Barkwill,26,1e ligne,3,9-Nov-12,35,32,180,103
Canada,Richard Thorpe,8,3e ligne,1,14-Nov-14,31,30,187,105
Canada,Tyler Ardron,22,3e ligne,3.5,9-Jun-12,24,21,194,110
England,Alex Goode,19,arrière,3.4,16-Jun-12,27,24,180,91
England,Anthony Watson,15,arrière,1,8-Nov-14,21,20,188,90
England,Ben Morgan,31,3e ligne,3.8,4-Feb-12,26,22,190,116
England,Ben Youngs,52,demi,5.7,13-Mar-10,26,20,178,87
England,Billy Vunipola,21,3e ligne,2.5,8-Jun-13,23,21,188,126
England,Brad Barritt,26,arrière,3.8,4-Feb-12,29,25,185,95
England,Chris Robshaw,43,3e ligne,6.5,13-Jun-09,29,23,188,110
England,Courtney Lawes,42,2e ligne,6.1,7-Nov-09,26,20,201,115
England,Dan Cole,56,1e ligne,5.8,6-Feb-10,28,22,189,118
England,Danny Care,53,demi,7.5,14-Jun-08,28,21,175,85
England,David Wilson,44,1e ligne,6.5,6-Jun-09,30,24,188,122
England,Geoff Parling,29,2e ligne,3.8,4-Feb-12,32,28,198,114
England,George Ford,17,demi,1.7,9-Mar-14,22,20,175,80
England,George Kruis,10,2e ligne,1,8-Nov-14,25,24,198,112
England,Henry Slade,2,arrière,0.3,15-Aug-15,22,22,190,90
England,Jack Nowell,10,arrière,1.8,1-Feb-14,22,20,180,89
England,James Haskell,62,3e ligne,8.7,17-Mar-07,30,21,193,114
England,Jamie George,3,1e ligne,0.3,22-Aug-15,25,25,183,109
England,Joe Launchbury,28,2e ligne,3,10-Nov-12,24,21,198,115
England,Joe Marler,37,1e ligne,3.5,9-Jun-12,25,22,183,113
England,Jonathan Joseph,16,arrière,3.5,9-Jun-12,24,21,183,93
England,Jonny May,19,arrière,2.4,15-Jun-13,25,23,189,90
England,Kieran Brookes,15,1e ligne,1.5,14-Jun-14,25,24,186,122
England,Mako Vunipola,27,1e ligne,3,10-Nov-12,24,21,182,118
England,Mike Brown,43,arrière,8.5,26-May-07,30,22,183,92
