dep,popA,popB,popC,popD,popE,pop
1,167666,151084,179469,104453,54283,656955
2,129852,114042,135164,98046,48946,526050
3,66659,61490,85304,72079,45783,331315
4,34281,30814,43423,35681,20998,165197
5,30280,27715,37829,29047,16885,141756
6,226862,232814,282249,198428,139043,1079396
7,70594,61093,88160,68490,38538,326875
8,60337,55870,70459,52021,26844,265531
9,30718,28780,40432,32667,19801,152398
10,74513,69749,77945,56336,31364,309907
11,78644,70170,96929,80039,46923,372705
12,55940,51027,73060,59454,38879,278360
13,480915,483747,522289,342385,205133,2034469
14,160392,155359,174249,130972,70481,691453
15,26571,24954,38397,32697,20192,142811
16,71324,69355,91186,72860,43455,348180
17,130618,119836,164314,146996,85316,647080
18,61933,57193,76912,62985,37381,296404
19,48146,45056,62186,52206,32742,240336
2A,31630,34910,45312,31004,19565,162421
2B,36925,42075,47863,34671,20724,182258
21,121633,128314,134514,95451,52974,532886
22,131217,108675,153257,128481,74556,596186
23,20766,19388,30402,28640,17074,116270
24,76430,70201,107402,96538,57822,408393
25,132582,130504,135120,90502,50741,539449
26,125073,110455,134338,95865,54829,520560
27,151745,128858,160781,106586,52717,600687
28,106266,90617,113525,76422,42595,429425
29,201332,189857,237308,178715,99342,906554
30,170615,154480,195429,147114,80830,748468
31,335750,398589,358515,197921,110160,1400935
32,37581,32714,51231,41871,26643,190040
33,380317,415128,425319,267580,145096,1633440
34,268258,286299,292794,208723,120071,1176145
35,274429,270693,278610,165623,92718,1082073
36,42951,38506,56292,48986,30404,217139
37,142122,136574,153731,108623,64330,605380
38,319977,298730,332378,201842,112052,1264979
39,57639,51064,68521,50575,30050,257849
40,85144,78495,112191,86896,49253,411979
41,72953,62903,86073,65923,39983,327835
42,186049,167975,190702,136240,83771,764737
43,49659,43248,60903,46857,26234,226901
44,363681,357664,368059,227458,120275,1437137
45,172345,155348,174617,115984,64596,682890
46,31861,29365,44533,41623,25784,173166
47,69990,64149,84272,68912,43013,330336
48,15582,14895,20255,15962,9592,76286
49,204162,184600,204421,138603,84095,815881
50,105402,96439,126734,101121,60973,490669
51,136695,137533,142415,97015,50165,563823
52,34865,34065,44268,35981,20071,169250
53,74868,61839,78619,55705,34334,305365
54,170693,185629,182526,124808,66742,730398
55,40375,37641,47696,36898,19031,181641
56,166653,145287,197813,159285,86528,755566
57,229681,243525,278966,186864,96830,1035866
58,38191,34484,50426,47745,28750,199596
59,675470,665053,646791,405380,196294,2588988
60,214776,193026,221783,134365,61127,825077
61,59830,51781,70741,58679,35872,276903
62,367229,336274,374200,255788,119287,1452778
63,147680,153022,169492,122442,67604,660240
64,144945,141910,182850,130868,82596,683169
65,44839,42373,59329,49523,30775,226839
66,102236,93899,121501,99671,61693,479000
67,258105,285390,300661,188150,100301,1132607
68,175817,172286,209152,134185,71764,763204
69,478142,523161,455898,259877,158973,1876051
70,52426,45311,62843,47643,24971,233194
71,117389,104206,141715,114530,69984,547824
72,135636,116946,143032,103587,61026,560227
73,98346,96013,117417,76722,44050,432548
74,203837,209477,227355,122439,65297,828405
75,406652,718825,536676,311978,174140,2148271
76,303968,294607,310458,218116,116639,1243788
77,392025,357752,382068,199768,91994,1423607
78,385814,341694,394186,209492,117439,1448625
79,85106,73604,98839,72067,43011,372627
80,138211,134953,144752,100734,51119,569769
81,84873,74511,102349,77279,48886,387898
82,63559,53023,70354,48046,27636,262618
83,224216,215361,276842,218239,139178,1073836
84,132211,118607,147247,103567,59365,560997
85,155162,132680,176377,142178,76790,683187
86,101362,100176,108284,79480,48096,437398
87,79173,77448,94509,74186,45458,370774
88,77042,70274,94740,75920,41544,359520
89,73991,64975,86159,68966,38005,332096
90,33166,32553,36366,24639,13421,140145
91,360333,338878,349395,176919,93876,1319401
92,393984,457571,428782,211036,122389,1613762
93,485032,478299,428192,194935,83691,1670149
94,359600,390124,368199,187814,100304,1406041
95,357525,326622,322949,166265,74993,1248354
971,90617,71707,109452,70936,34167,376879
972,77005,65776,105638,72163,38167,358749
973,120681,80023,61783,22111,6093,290691
974,256143,202783,239212,117045,44776,859959
976,150257,74348,42900,9521,2445,279471
